,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
14,91,297.9147178375347,1.0,0.18558272797487504,36.57220685055534,10.0,0.25101812493545317,62.661908412714325,1.0,0.42782564042333676,281.89704154627213,10.0,0.47595904845935966,210.2816432075589,10.0,0.058519216977195435,2.5,2.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,14,0,dikesnet
15,43,31.80652502952203,1.5,0.033738809493273715,275.75009116893625,1.0,0.368011795907648,85.83755138100017,10.0,0.2953255890871732,339.6691460108233,1.0,0.2806348577126204,141.34477008436954,1.0,0.7331714930819597,2.5,4.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,15,0,dikesnet
16,79,165.02321574067244,1.5,0.940627058920528,329.321713012351,1.0,0.6881724356056884,192.83982629644083,1.0,0.13664135769008443,110.96688861773129,1.0,0.025260747589702513,277.75500135473436,10.0,0.3592126776093997,3.5,4.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,16,0,dikesnet
17,78,180.16354458794152,1.0,0.022028707970736652,89.54601014379554,10.0,0.23429692512986983,268.1827184556634,10.0,0.04515492785679201,347.4297484237869,10.0,0.15314427944503486,347.62876030234827,1.0,0.438167188161432,1.5,1.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,17,0,dikesnet
18,54,144.13610055776758,1.0,0.8861711436154469,78.1318370992948,1.5,0.20447169093602646,267.20396223057736,10.0,0.6651513170763932,257.4897714583797,10.0,0.7689632273415221,240.9207122034138,10.0,0.8086615040244101,2.5,4.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,18,0,dikesnet
19,79,229.52898392964147,1.0,0.044164790477269664,108.27581961766572,1.0,0.03299433199237099,134.2992436974891,1.5,0.05983323145367022,112.34529120853288,10.0,0.4232673438603252,86.02938354925526,10.0,0.7312248767941771,1.5,3.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,19,0,dikesnet
20,87,70.53091831607608,10.0,0.6402655382439185,333.1209307824435,10.0,0.2185265461096606,146.80186616517994,1.0,0.3250255837690154,71.3058661438517,10.0,0.15425922455460536,225.03147691696424,1.0,0.4120812722203401,2.5,4.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,20,0,dikesnet
21,84,335.9075763063864,1.5,0.5149201665753931,271.7618722815238,10.0,0.17698947975824766,76.32604702161707,10.0,0.19301289487118084,302.5995941527951,1.5,0.8886221050551731,328.96002856883615,1.0,0.2244049172958794,3.5,3.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,21,0,dikesnet
22,18,166.44373181396105,1.5,0.11045708391174872,221.3161000104124,10.0,0.7563414291505802,108.14541630761211,1.5,0.3798898891016514,143.98068606444943,10.0,0.8510749863935999,84.1749719726042,1.5,0.14626641547406577,4.5,1.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,22,0,dikesnet
23,100,159.92019287431313,10.0,0.06744617142239713,53.3808997212177,10.0,0.2632787177868651,349.73023309927515,10.0,0.0884919530140987,205.2677198972163,10.0,0.15474256599622524,336.855410134307,10.0,0.14673616667853828,3.5,3.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,23,0,dikesnet
